name,position,overall_rank,wins_rank,saves_rank,save_percentage_rank,goals_against_average_rank
Connor Hellebuyck,G,1.0,1.0,6.0,7.0,7.0
Andrei Vasilevskiy,G,2.0,2.0,2.0,8.0,11.0
Filip Gustavsson,G,3.0,6.0,4.0,10.0,19.0
Darcy Kuemper,G,4.0,6.0,23.0,8.0,8.0
Jake Oettinger,G,5.0,3.0,9.0,14.0,21.0
Mackenzie Blackwood,G,6.0,9.0,13.0,11.0,18.0
Sergei Bobrovsky,G,7.0,4.0,17.0,18.0,14.0
Ilya Sorokin,G,8.0,7.0,3.0,16.0,28.0
Dustin Wolf,G,9.0,8.0,13.0,13.0,24.0
Adin Hill,G,10.0,5.0,22.0,17.0,15.0
Logan Thompson,G,11.0,6.0,27.0,13.0,16.0
Karel Vejmelka,G,12.0,11.0,14.0,19.0,20.0
Anthony Stolarz,G,13.0,16.0,35.0,6.0,9.0
Igor Shesterkin,G,14.0,10.0,1.0,18.0,38.0
Joey Daccord,G,15.0,10.0,10.0,17.0,32.0
Sam Montembeault,G,15.0,6.0,5.0,22.0,36.0
Kevin Lankinen,G,16.0,12.0,18.0,21.0,23.0
Jordan Binnington,G,17.0,9.0,16.0,23.0,27.0
Jacob Markström,G,18.0,11.0,26.0,23.0,17.0
Joseph Woll,G,19.0,10.0,25.0,14.0,30.0
Linus Ullmark,G,19.0,12.0,24.0,14.0,29.0
Pyotr Kochetkov,G,20.0,10.0,27.0,26.0,22.0
Lukáš Dostál,G,21.0,14.0,8.0,20.0,46.0
Stuart Skinner,G,22.0,11.0,19.0,27.0,35.0
Casey DeSmith,G,23.0,21.0,44.0,9.0,21.0
Juuse Saros,G,24.0,17.0,11.0,28.0,42.0
Jeremy Swayman,G,25.0,15.0,7.0,31.0,47.0
Cam Talbot,G,26.0,16.0,21.0,23.0,41.0
Spencer Knight,G,26.0,18.0,32.0,22.0,29.0
Jake Allen,G,26.0,22.0,37.0,17.0,25.0
Scott Wedgewood,G,27.0,21.0,54.0,15.0,12.0
Calvin Pickard,G,27.0,15.0,36.0,23.0,28.0
Jet Greaves,G,28.0,28.0,65.0,5.0,5.0
Joel Hofer,G,29.0,19.0,43.0,19.0,24.0
Eric Comrie,G,30.0,26.0,58.0,10.0,13.0
Elvis Merzļikins,G,30.0,11.0,12.0,31.0,53.0
Leevi Merilainen,G,31.0,27.0,68.0,7.0,6.0
John Gibson,G,31.0,24.0,39.0,12.0,33.0
Charlie Lindgren,G,32.0,17.0,33.0,29.0,30.0
Ukko-Pekka Luukkonen,G,33.0,13.0,15.0,35.0,54.0
Anton Forsberg,G,33.0,24.0,42.0,22.0,29.0
Nico Daws,G,34.0,32.0,78.0,4.0,4.0
Akira Schmid,G,34.0,33.0,79.0,3.0,3.0
Daniel Vladař,G,35.0,23.0,40.0,25.0,34.0
Frederik Andersen,G,35.0,22.0,59.0,24.0,17.0
Erik Portillo,G,36.0,34.0,87.0,2.0,2.0
Alex Nedeljkovic,G,37.0,21.0,31.0,29.0,48.0
Alex Lyon,G,38.0,21.0,47.0,27.0,35.0
Victor Ostman,G,39.0,35.0,94.0,1.0,1.0
Samuel Ersson,G,40.0,15.0,28.0,39.0,50.0
Tristan Jarry,G,40.0,19.0,34.0,31.0,48.0
Ilya Samsonov,G,40.0,19.0,45.0,32.0,36.0
Arvid Söderblom,G,40.0,25.0,29.0,25.0,53.0
David Rittich,G,41.0,19.0,41.0,36.0,37.0
Jakub Dobes,G,42.0,28.0,61.0,14.0,31.0
Louis Domingue,G,43.0,34.0,88.0,6.0,7.0
Marc-André Fleury,G,44.0,21.0,50.0,24.0,41.0
Dustin Tokarski,G,45.0,31.0,77.0,21.0,11.0
Joonas Korpisalo,G,46.0,24.0,48.0,30.0,40.0
Petr Mrázek,G,47.0,23.0,30.0,32.0,58.0
James Reimer,G,48.0,25.0,51.0,27.0,44.0
Justus Annunen,G,49.0,20.0,38.0,39.0,53.0
Alexandar Georgiev,G,50.0,20.0,20.0,46.0,67.0
Thatcher Demko,G,51.0,25.0,55.0,34.0,40.0
Jonathan Quick,G,52.0,24.0,52.0,30.0,52.0
Jonas Johansson,G,53.0,26.0,57.0,28.0,49.0
Yaroslav Askarov,G,54.0,31.0,64.0,27.0,46.0
Nikita Tolopilo,G,55.0,34.0,89.0,37.0,10.0
Semyon Varlamov,G,56.0,32.0,69.0,34.0,39.0
Ivan Fedotov,G,57.0,29.0,53.0,42.0,51.0
Connor Ingram,G,58.0,26.0,56.0,40.0,56.0
Vítek Vaněček,G,59.0,30.0,46.0,38.0,65.0
Matt Villalta,G,60.0,34.0,86.0,20.0,43.0
Philipp Grubauer,G,61.0,27.0,49.0,46.0,62.0
Trent Miner,G,62.0,35.0,85.0,43.0,23.0
Daniil Tarasov,G,63.0,28.0,60.0,41.0,63.0
Ville Husso,G,64.0,33.0,66.0,33.0,61.0
Jaxson Stauber,G,65.0,33.0,75.0,31.0,55.0
Joel Blomqvist,G,66.0,31.0,62.0,37.0,68.0
Marcus Högberg,G,67.0,33.0,67.0,44.0,60.0
Sebastian Cossa,G,68.0,34.0,93.0,53.0,26.0
Aleksei Kolosov,G,69.0,30.0,63.0,50.0,64.0
Dennis Hildeby,G,70.0,32.0,76.0,47.0,57.0
Ales Stezka,G,71.0,35.0,91.0,48.0,45.0
Olivier Rodrigue,G,71.0,35.0,87.0,51.0,46.0
Matt Murray,G,72.0,34.0,80.0,43.0,63.0
Georgi Romanov,G,73.0,35.0,73.0,45.0,69.0
Devon Levi,G,74.0,33.0,70.0,47.0,73.0
Arturs Silovs,G,74.0,33.0,72.0,52.0,66.0
Spencer Martin,G,75.0,32.0,74.0,54.0,69.0
Jakub Skarek,G,76.0,35.0,83.0,47.0,70.0
Cayden Primeau,G,76.0,33.0,71.0,56.0,75.0
Drew Commesso,G,77.0,35.0,89.0,54.0,59.0
Jesper Wallstedt,G,78.0,35.0,81.0,55.0,72.0
Clay Stevenson,G,79.0,35.0,84.0,49.0,76.0
Mads Søgaard,G,80.0,34.0,82.0,58.0,78.0
Kaapo Kähkönen,G,81.0,35.0,92.0,58.0,73.0
Pheonix Copley,G,82.0,35.0,94.0,57.0,74.0
Brandon Halverson,G,83.0,35.0,90.0,59.0,77.0
Hunter Shepard,G,84.0,35.0,89.0,60.0,79.0
Niklas Kokko,G,84.0,35.0,96.0,61.0,71.0
Yaniv Perets,G,84.0,35.0,95.0,53.0,80.0
Tristan Lennox,G,85.0,35.0,97.0,62.0,81.0
